,Phone_Name,Reviews,RAM,ROM,Display_Size,Processor,Battery,Rear_Camera,Front_Camera,Current_Price,Original_Price
824,"vivo V40e 5G (Royal Bronze, 128 GB)","9,402 Ratings & 640 Reviews",8 GB RAM , 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP ,6.77 inch,Dimensity 7300 Processor,5500 mAh Battery,N/A,N/A,"₹23,999","₹33,999"
825,"Samsung Galaxy S24 5G (Amber Yellow, 256 GB)","5,524 Ratings & 349 Reviews",8 GB RAM , 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP ,6.2 inch,Exynos 2400 Processor,4000 mAh Battery,N/A,N/A,"₹55,999","₹79,999"
826,"Nothing Phone (3a) Pro (Black, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
827,Zapcase Back Cover for Motorola G45 5G,"1,490 Ratings & 59 Reviews",Suitable For: MobileMaterial: Thermoplastic PolyurethaneTheme: No ThemeType: Back Cover,N/A,N/A,N/A,N/A,N/A,N/A,₹281,₹899
828,"Tecno Spark Go 1 (Glittery White, 64 GB)","1,260 Ratings & 67 Reviews",3 GB RAM , 64 GB ROM ,6.67 inch,Unisoc T61 Processor,5000 mAh Battery,13MP Rear Camera , 8MP Front Camera,"₹6,899","₹8,599"
829,"realme NARZO 80 Pro 5G (Nitro Orange, 256 GB)",186 Ratings & 8 Reviews,8 GB RAM , 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6000 mAh Battery1 Year Handset Warranty and 6 Months Warranty on Accessories,6.7 inch,N/A,6000 mAh Battery,50MP Rear Camera,N/A,"₹20,618","₹25,999"
830,Ambrane 27000 mAh Power Bank,"2,086 Ratings & 116 Reviews","Capacity: 27000 mAhQuick Charge 3.0 & Power Delivery TechnologyTriple Output Ports: 2 USB & 1 Type-C27000mAh capacity with Smart Power ManagementSmall & Compact SizeDurable BodyAllowed in FlightsMultiple Layers of Protection from short circuit, over charge & over dischargeType C Charging Cable includedLightning quick chargeUniversal compatibilityInput/Output control and LED indicatorsLithium Polymer Battery & Type-A, Type-C ConnectorPower Source: AC AdapterCapacity: 27000 mAhLithium Battery ", Type-C ConnectorPower Source: AC AdapterCharging Cable Included6 Months Warranty,N/A,N/A,Capacity: 27000 mAh,N/A,N/A,"₹2,199","₹4,999"
831,"Nothing Phone (3a) (White, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
832,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","14,575 Ratings & 1,043 Reviews",4 GB RAM , 64 GB ROM ,6.7 inch,Dimensity 6300 Processor,5000 mAh Battery,N/A,N/A,"₹8,499","₹12,499"
833,"Samsung Galaxy A15 5G (Blue Black, 128 GB)","4,007 Ratings & 238 Reviews",8 GB RAM , 128 GB ROM ,6.5 inch,Dimensity 6100+ Processor,5000 mAh Battery,N/A,N/A,"₹16,999","₹21,499"
834,"Samsung Galaxy A16 5G (Light Green, 128 GB)","2,161 Ratings & 106 Reviews",6 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 5MP + 2MP ,6.7 inch,Dimensity 6300 Processor,5000 mAh Battery,N/A,N/A,"₹15,999","₹19,999"
835,"vivo V50 5G (Titanium Grey, 256 GB)","5,565 Ratings & 503 Reviews",8 GB RAM , 256 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP ,6.77 inch,7 Gen 3 Processor,6000 mAh Battery,N/A,N/A,"₹36,999","₹42,999"
836,"Nothing Phone (3a) Pro (Grey, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
837,EVEREADY Carbon Zinc AA  Battery,"5,560 Ratings & 369 Reviews",Carbon ZincCapacity: 1.5 vColor: RedNA,N/A,N/A,N/A,N/A,N/A,N/A,₹109,₹180
838,"Samsung Galaxy S23 5G (Phantom Black, 128 GB)","78,547 Ratings & 5,395 Reviews",8 GB RAM , 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP ,6.1 inch,Qualcomm Snapdragon 8 Gen 2 Processor,3900 mAh Lithium Ion Battery,N/A,N/A,"₹44,999","₹89,999"
839,"REDMI 13 5G (Black Diamond, 128 GB)","39,666 Ratings & 2,064 Reviews",6 GB RAM , 128 GB ROM17.25 cm (6.79 inch) Full HD+ Display108MP Rear Camera5030 mAh BatteryQualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor1 year manufacture warranty,6.79 inch,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor,5030 mAh Battery,108MP Rear Camera,N/A,"₹13,998","₹17,999"
840,"Nothing Phone (3a) Pro (Black, 128 GB)","4,934 Ratings & 496 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
841,"Nothing Phone (3a) (Blue, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
842,"Samsung Galaxy S24 5G (Amber Yellow, 256 GB)","5,524 Ratings & 349 Reviews",8 GB RAM , 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP ,6.2 inch,Exynos 2400 Processor,4000 mAh Battery,N/A,N/A,"₹55,999","₹79,999"
843,"Samsung Galaxy A05s (Black, 128 GB)",133 Ratings & 3 Reviews,4 GB RAM , 128 GB ROM ,6.72 inch,680 Processor,5000 mAh Battery,N/A,N/A,"₹9,999","₹15,999"
844,"Samsung Galaxy A55 5G (Awesome Navy, 256 GB)",486 Ratings & 40 Reviews,12 GB RAM , 256 GB ROM ,6.6 inch,Samsung Exynos 1480 Processor,5000 mAh Battery,N/A,N/A,"₹34,990","₹48,999"
845,"POCO X7 5G (Glacier Green, 256 GB)","9,797 Ratings & 953 Reviews",8 GB RAM , 256 GB ROM16.94 cm (6.67 inch) Display50MP + 8MP + 2MP ,6.67 inch,Dimensity 7300 Ultra Processor,5500 mAh Battery,N/A,N/A,"₹18,999","₹27,999"
846,"Nothing Phone (3a) (Black, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
847,"Nothing Phone (3a) Pro (Black, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
848,"Samsung Galaxy S24 5G (Cobalt Violet, 128 GB)","5,524 Ratings & 349 Reviews",8 GB RAM , 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 10MP + 12MP ,6.2 inch,Exynos 2400 Processor,4000 mAh Battery,N/A,N/A,"₹49,999","₹74,999"
849,"realme Narzo N65 5G (Deep Green, 128 GB)","1,630 Ratings & 89 Reviews",4 GB RAM , 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5000 mAh Battery1 Year,6.67 inch,N/A,5000 mAh Battery,50MP Rear Camera,N/A,"₹10,699","₹13,999"
850,"Nothing Phone (3a) (White, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
851,Ambrane 27000 mAh Power Bank,"2,086 Ratings & 116 Reviews","Capacity: 27000 mAhQuick Charge 3.0 & Power Delivery TechnologyTriple Output Ports: 2 USB & 1 Type-C27000mAh capacity with Smart Power ManagementSmall & Compact SizeDurable BodyAllowed in FlightsMultiple Layers of Protection from short circuit, over charge & over dischargeType C Charging Cable includedLightning quick chargeUniversal compatibilityInput/Output control and LED indicatorsLithium Polymer Battery & Type-A, Type-C ConnectorPower Source: AC AdapterCapacity: 27000 mAhLithium Battery ", Type-C ConnectorPower Source: AC AdapterCharging Cable Included6 Months Warranty,N/A,N/A,Capacity: 27000 mAh,N/A,N/A,"₹2,199","₹4,999"
852,"Samsung Galaxy A06 5G (Light Green, 128 GB)",401 Ratings & 49 Reviews,4 GB RAM , 128 GB ROM17.02 cm (6.7 inch) HD+ Display50MP + 2MP ,6.7 inch,Dimensity 6300 Processor,5000 mAh Li-ion Battery,N/A,N/A,"₹10,135","₹15,499"
853,"realme NARZO 80 Pro 5G (Speed Silver, 128 GB)",186 Ratings & 8 Reviews,8 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,6.7 inch,N/A,6000 mAh Battery,50MP Rear Camera,N/A,"₹18,301","₹23,999"
854,"POCO M7 5G (Ocean Blue, 128 GB)","4,084 Ratings & 255 Reviews",8 GB RAM , 128 GB ROM ,6.88 inch,4 Gen 2 5G Processor,5160 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹10,299","₹13,999"
855,"POCO C71 (Cool Blue, 64 GB)","15,488 Ratings & 851 Reviews",4 GB RAM , 64 GB ROM ,6.88 inch,6 x A55@1.6GHz Processor,5200 mAh Battery,32MP Rear Camera , 8MP Front Camera,"₹6,399","₹8,999"
856,"Nothing Phone (3a) Pro (Grey, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
857,Zapcase Back Cover for Motorola G45 5G,"1,490 Ratings & 59 Reviews",Suitable For: MobileMaterial: Thermoplastic PolyurethaneTheme: No ThemeType: Back Cover,N/A,N/A,N/A,N/A,N/A,N/A,₹281,₹899
858,"REDMI 13c 5G (Startrail Silver, 128 GB)","40,657 Ratings & 1,737 Reviews",6 GB RAM , 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year,6.74 inch,N/A,5000 mAh Battery,50MP Rear Camera,N/A,"₹11,582","₹15,999"
859,"Google Pixel 8 Pro (Obsidian, 128 GB)","1,144 Ratings & 130 Reviews",12 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 48MP + 48MP ,6.7 inch,Tensor G3 Processor,5050 mAh Battery,N/A,N/A,"₹59,999","₹1,06,999"
860,EVEREADY Carbon Zinc AA  Battery,"5,560 Ratings & 369 Reviews",Carbon ZincCapacity: 1.5 vColor: RedNA,N/A,N/A,N/A,N/A,N/A,N/A,₹109,₹180
861,"OPPO Reno14 5G (Forest Green, 256 GB)","1,489 Ratings & 95 Reviews",12 GB RAM , 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP ,6.59 inch,Dimensity 8350 Processor,6000 mAh Battery,N/A,N/A,"₹44,999","₹47,999"
862,"OPPO Reno14 5G (Forest Green, 512 GB)",N/A,12 GB RAM , 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP ,6.59 inch,Dimensity 8350 Processor,6000 mAh Battery,N/A,N/A,"₹42,999","₹30,999"
863,"OPPO F29 5G (Solid Purple, 256 GB)",N/A,8 GB RAM , 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 2MP ,6.7 inch,6 Gen 1 Processor,6500 mAh Battery,N/A,N/A,"₹25,999",N/A
864,"realme Narzo 80 Pro 5G (Speed Silver, 256 GB)",186 Ratings & 8 Reviews,8 GB RAM , 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera6000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,6.77 inch,N/A,6000 mAh Battery,50MP Rear Camera,N/A,"₹19,786","₹25,999"
865,"Xiaomi 14 CIVI (Cruise Blue, 512 GB)",707 Ratings & 65 Reviews,12 GB RAM , 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera ,6.55 inch,8s Gen 3 Mobile Platform Processor,4700 mAh Battery,50MP Rear Camera , 32MP + 32MP Dual Front Camera,"₹38,999","₹59,999"
866,"Nothing Phone (3a) Pro (Black, 128 GB)","4,934 Ratings & 496 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
867,"Nothing Phone (3a) (Blue, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
868,"Samsung Galaxy A16 5G (Light Green, 128 GB)","2,944 Ratings & 175 Reviews",8 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 5MP + 2MP ,6.7 inch,Dimensity 6300 Processor,5000 mAh Battery,N/A,N/A,"₹16,698","₹21,499"
869,"Samsung M06 5G (Sage Green, 128 GB)",200 Ratings & 25 Reviews,4 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,6.7 inch,N/A,5000 mAh Battery,50MP Rear Camera,N/A,"₹9,798","₹12,998"
870,"Nothing Phone (3a) (Black, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
871,"Nothing Phone (3a) Pro (Black, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
872,"Motorola g64 5G (Mint Green, 128 GB)","58,777 Ratings & 3,696 Reviews",8 GB RAM , 128 GB ROM ,6.5 inch,Dimensity 7025 Processor,6000 mAh Battery,N/A,N/A,"₹13,999","₹17,999"
873,"OPPO Reno14 5G (Pearl White, 512 GB)","1,866 Ratings & 79 Reviews",12 GB RAM , 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP ,6.59 inch,Dimensity 8350 Processor,6000 mAh Battery,N/A,N/A,"₹42,999","₹47,999"
874,"OPPO Reno14 5G (Pearl White, 256 GB)","26,059 Ratings & 2,334 Reviews",12 GB RAM , 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP ,6.59 inch,Dimensity 8350 Processor,6000 mAh Battery,N/A,N/A,"₹39,999","₹44,999"
875,"REDMI A3 (Olive Green, 128 GB)","2,086 Ratings & 116 Reviews",4 GB RAM , 128 GB ROM ,6.71 inch,Mediatek Helio G36 Processor,5000 mAh Battery,8MP Rear Camera , 5MP Front Camera,"₹7,799","₹10,999"
876,"Nothing Phone (3a) (White, 128 GB)","4,007 Ratings & 238 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
877,Ambrane 27000 mAh Power Bank,"45,258 Ratings & 1,830 Reviews","Capacity: 27000 mAhQuick Charge 3.0 & Power Delivery TechnologyTriple Output Ports: 2 USB & 1 Type-C27000mAh capacity with Smart Power ManagementSmall & Compact SizeDurable BodyAllowed in FlightsMultiple Layers of Protection from short circuit, over charge & over dischargeType C Charging Cable includedLightning quick chargeUniversal compatibilityInput/Output control and LED indicatorsLithium Polymer Battery & Type-A, Type-C ConnectorPower Source: AC AdapterCapacity: 27000 mAhLithium Battery ", Type-C ConnectorPower Source: AC AdapterCharging Cable Included6 Months Warranty,N/A,N/A,Capacity: 27000 mAh,N/A,N/A,"₹2,199","₹4,999"
878,"Samsung Galaxy A15 5G (Light Blue, 128 GB)","2,345 Ratings & 180 Reviews",8 GB RAM , 128 GB ROM ,6.5 inch,Dimensity 6100+ Processor,5000 mAh Battery,N/A,N/A,"₹16,990","₹21,499"
879,"REDMI 13c 5G (Starlight Black, 128 GB)","1,490 Ratings & 59 Reviews",4 GB RAM , 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year,6.74 inch,N/A,5000 mAh Battery,50MP Rear Camera,N/A,"₹10,218","₹13,999"
880,"Nothing Phone (3a) Pro (Grey, 256 GB)",186 Ratings & 8 Reviews,12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
881,Zapcase Back Cover for Motorola G45 5G,"2,197 Ratings & 114 Reviews",Suitable For: MobileMaterial: Thermoplastic PolyurethaneTheme: No ThemeType: Back Cover,N/A,N/A,N/A,N/A,N/A,N/A,₹281,₹899
882,"realme NARZO 80 Pro 5G (Racing Green, 128 GB)","1,144 Ratings & 130 Reviews",8 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,6.7 inch,N/A,6000 mAh Battery,50MP Rear Camera,N/A,"₹18,280","₹23,999"
