,Phone_Name,Reviews,RAM,ROM,Display_Size,Processor,Battery,Rear_Camera,Front_Camera,Current_Price,Original_Price
0,"Infinix Hot 50 5G (Vibrant Blue, 128 GB)","5,423 Ratings & 406 Reviews",4 GB RAM , 128 GB ROM ,6.7 inch,Dimensity 6300 Processor,5000 mAh Lithium-ion Polymer Battery,N/A,N/A,"₹9,499","₹12,999"
1,"MTOUCH New Rock Slider Sim |Keypad Mobile| with 2.4"" Display |Slide|Slider",7 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera3000 mAh Battery1 Year Manufacturer Warranty,2.4 inch,N/A,3000 mAh Battery,0.3MP Rear Camera,N/A,"₹2,137","₹4,999"
2,Snexian ROCK X,"2,169 Ratings & 104 Reviews",32 MB RAM , 32 MB ROM ,1.8 inch,N/A,3000 mAh Battery,0.3MP Rear Camera,N/A,"₹1,803","₹2,999"
3,Pear P4,10 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM3.66 cm (1.44 inch) Display0.3MP Rear Camera900 mAh Battery6 MONTHS WARRENTY,1.44 inch,N/A,900 mAh Battery,0.3MP Rear Camera,N/A,₹880,"₹1,599"
4,Pear P3,25 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM3.66 cm (1.44 inch) Display0.3MP Rear Camera900 mAh Battery6 MONTHS WARRENTY,1.44 inch,N/A,900 mAh Battery,0.3MP Rear Camera,N/A,₹880,"₹1,599"
5,BlackZone PEPSO,8 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM2.54 cm (1 inch) Display0.3MP Rear Camera800 mAh Battery1 Year Manufacturer Warranty for Device,1 inch,N/A,800 mAh Battery,0.3MP Rear Camera,N/A,"₹1,405","₹1,699"
6,BlackZone PEPSO,8 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM2.54 cm (1 inch) Display0.3MP Rear Camera800 mAh Battery1 Year Manufacturer Warranty for Device,1 inch,N/A,800 mAh Battery,0.3MP Rear Camera,N/A,"₹1,405","₹1,699"
7,ANGAGE A6130,71 Ratings & 4 Reviews,64 MB RAM , 64 MB ROM ,2.4 inch,N/A,3000 mAh Battery,0.3MP Rear Camera,N/A,"₹1,095","₹1,699"
8,UiSmart M2,53 Ratings & 5 Reviews,32 MB RAM , 32 MB ROM4.32 cm (1.7 inch) Display2MP Rear Camera1100 mAh Battery1 month seller warranty,1.7 inch,N/A,1100 mAh Battery,2MP Rear Camera,N/A,"₹1,999","₹3,599"
9,Pear P4,10 Ratings & 0 Reviews,32 MB RAM , 32 MB ROM3.66 cm (1.44 inch) Display0.3MP Rear Camera900 mAh Battery6 MONTHS WARRENTY,1.44 inch,N/A,900 mAh Battery,0.3MP Rear Camera,N/A,₹950,"₹1,599"
10,"POCO C61 (Ethereal Blue, 128 GB)","10,317 Ratings & 346 Reviews",6 GB RAM , 128 GB ROM ,6.71 inch,Helio G36 Processor,5000 mAh Battery,8MP Rear Camera , 5MP Front Camera,"₹8,499","₹9,999"
11,BlackZone ORIGIN,"29,674 Ratings & 1,641 Reviews",64 MB RAM , 64 MB ROM ,1.77 inch,N/A,1100 mAh Battery,0.3MP Rear Camera,N/A,"₹1,275","₹1,849"
12,"Motorola g04s (Sunrise Orange, 64 GB)","56,324 Ratings & 3,298 Reviews",4 GB RAM , 64 GB ROM ,6.6 inch,T606 Processor,5000 mAh Battery,50MP Rear Camera , 5MP Front Camera,"₹7,299","₹9,999"
13,"Samsung Galaxy F05 (Twilight Blue, 64 GB)","6,134 Ratings & 356 Reviews",4 GB RAM , 64 GB ROM ,6.74 inch,Helio G85 Processor,5000 mAh Battery,N/A,N/A,"₹6,249","₹9,999"
14,"POCO C71 (Desert Gold, 128 GB)","8,230 Ratings & 366 Reviews",6 GB RAM , 128 GB ROM ,6.88 inch,6 x A55@1.6GHz Processor,5200 mAh Battery,32MP Rear Camera , 8MP Front Camera,"₹6,999","₹9,999"
15,"REDMI A3X (Ocean Green, 64 GB)","4,934 Ratings & 496 Reviews",3 GB RAM , 64 GB ROM ,6.71 inch,N/A,5000 mAh Battery,8MP Rear Camera , 5MP Front Camera,"₹5,999","₹9,999"
16,"Nothing Phone (3a) Pro (Black, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
17,"Nothing Phone (3a) (Blue, 128 GB)","73,614 Ratings & 3,800 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
18,"POCO C75 5G (Aqua Bliss, 64 GB)","37,911 Ratings & 2,816 Reviews",4 GB RAM , 64 GB ROM ,6.88 inch,4s Gen 2 5G Processor,5160 mAh Battery,50MP Rear Camera , 5MP Front Camera,"₹7,699","₹10,999"
19,"MOTOROLA g05 (Forest Green, 64 GB)","26,059 Ratings & 2,334 Reviews",4 GB RAM , 64 GB ROM ,6.67 inch,Helio G81 Processor,5200 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹7,299","₹9,999"
20,"Nothing Phone (3a) (Black, 128 GB)","2,345 Ratings & 180 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
21,"Nothing Phone (3a) Pro (Black, 256 GB)","17,936 Ratings & 673 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
22,"realme C61 (Safari Green, 128 GB)","2,004 Ratings & 54 Reviews",6 GB RAM , 128 GB ROM ,6.745 inch,T612 Processor,5000 mAh Battery,32MP Rear Camera , 5MP Front Camera,"₹8,199","₹10,999"
23,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",N/A,4 GB RAM , 128 GB ROM ,6.74 inch,Dimensity 6300 5G Processor,6000 mAh Battery,N/A,N/A,"₹9,999","₹13,999"
24,"realme Narzo N61 (Vyage Blue, 64 GB)","5,348 Ratings & 258 Reviews",4 GB RAM , 64 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year,6.74 inch,N/A,5000 mAh Battery,32MP Rear Camera,N/A,"₹7,322","₹8,999"
25,"MOTOROLA g05 (Plum Red, 64 GB)","37,911 Ratings & 2,816 Reviews",4 GB RAM , 64 GB ROM ,6.67 inch,Helio G81 Processor,5200 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹7,299","₹9,999"
26,"Nothing Phone (3a) Pro (Black, 128 GB)","4,934 Ratings & 496 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
27,"Nothing Phone (3a) (Blue, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
28,"POCO C75 5G (Enchanted Green, 64 GB)","73,614 Ratings & 3,800 Reviews",4 GB RAM , 64 GB ROM ,6.88 inch,4s Gen 2 5G Processor,5160 mAh Battery,50MP Rear Camera , 5MP Front Camera,"₹7,699","₹10,999"
29,"POCO M7 5G (Ocean Blue, 128 GB)","22,869 Ratings & 1,262 Reviews",6 GB RAM , 128 GB ROM ,6.88 inch,4 Gen 2 5G Processor,5160 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹9,299","₹12,999"
30,"Nothing Phone (3a) (Black, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
31,"Nothing Phone (3a) Pro (Black, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
32,"vivo T4x 5G (Pronto Purple, 256 GB)","56,695 Ratings & 3,291 Reviews",8 GB RAM , 256 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP ,6.72 inch,Dimensity 7300 5G Processor,6500 mAh Battery,N/A,N/A,"₹16,999","₹20,999"
33,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)",643 Ratings & 31 Reviews,8 GB RAM , 256 GB ROM ,6.74 inch,Dimensity 6300 5G Processor,6000 mAh Battery,N/A,N/A,"₹12,999","₹16,999"
34,"REDMI A3X (Midnight Black, 64 GB)","8,230 Ratings & 366 Reviews",3 GB RAM , 64 GB ROM ,6.71 inch,N/A,5000 mAh Battery,8MP Rear Camera , 5MP Front Camera,"₹5,999","₹9,999"
35,"Motorola g45 5G (Brilliant Blue, 128 GB)","1,80,938 Ratings & 9,534 Reviews",8 GB RAM , 128 GB ROM ,6.5 inch,Snapdragon 6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹11,999","₹14,999"
36,"Nothing Phone (3a) (White, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
37,"Nothing Phone (3a) Pro (Grey, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
38,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","2,166 Ratings & 58 Reviews",6 GB RAM , 128 GB ROM ,6.74 inch,Dimensity 6300 5G Processor,6000 mAh Battery,N/A,N/A,"₹10,999","₹14,999"
39,"REDMI A5 (Pondicherry Blue, 128 GB)","1,284 Ratings & 78 Reviews",4 GB RAM , 128 GB ROM ,6.88 inch,T7250 Processor,5200 mAh Battery,32MP Rear Camera , 8MP Front Camera,"₹7,499","₹9,999"
40,"vivo T4x 5G (Pronto Purple, 128 GB)","56,695 Ratings & 3,291 Reviews",8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP ,6.72 inch,Dimensity 7300 5G Processor,6500 mAh Battery,N/A,N/A,"₹14,999","₹19,499"
41,"Motorola g45 5G (Viva Magenta, 128 GB)","1,80,938 Ratings & 9,534 Reviews",8 GB RAM , 128 GB ROM ,6.5 inch,Snapdragon 6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹11,999","₹14,999"
42,"vivo T4x 5G (Pronto Purple, 128 GB)","75,704 Ratings & 4,151 Reviews",6 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP ,6.72 inch,Dimensity 7300 5G Processor,6500 mAh Battery,N/A,N/A,"₹13,999","₹17,999"
43,"vivo T4x 5G (Marine Blue, 128 GB)","75,704 Ratings & 4,151 Reviews",6 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP ,6.72 inch,Dimensity 7300 5G Processor,6500 mAh Battery,N/A,N/A,"₹13,999","₹17,999"
44,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","2,004 Ratings & 54 Reviews",4 GB RAM , 128 GB ROM ,6.74 inch,Dimensity 6300 5G Processor,6000 mAh Battery,N/A,N/A,"₹9,999","₹13,999"
45,"realme P3 5G (Space Silver, 128 GB)","15,283 Ratings & 1,191 Reviews",6 GB RAM , 128 GB ROM ,6.67 inch,6 Gen 4 Processor,6000 mAh Battery,N/A,N/A,"₹15,999","₹19,999"
46,"realme P3x 5G (Midnight Blue, 128 GB)","20,556 Ratings & 710 Reviews",6 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Full HD Display50MP Rear Camera ,6.72 inch,Dimensity 6400 Processor,6000 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹12,999","₹16,999"
47,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","6,272 Ratings & 477 Reviews",6 GB RAM , 128 GB ROM ,6.7 inch,Dimensity 6300 Processor,5000 mAh Battery,N/A,N/A,"₹9,799","₹15,499"
48,"Motorola g45 5G (Viva Magenta, 128 GB)","45,749 Ratings & 2,862 Reviews",4 GB RAM , 128 GB ROM ,6.5 inch,Snapdragon 6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹10,999","₹12,999"
49,"realme P3 5G (Space Silver, 256 GB)","10,749 Ratings & 816 Reviews",8 GB RAM , 256 GB ROM ,6.67 inch,6 Gen 4 Processor,6000 mAh Battery,N/A,N/A,"₹18,499","₹22,999"
50,"Nothing Phone (3a) (White, 256 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹26,999","₹29,999"
51,"Nothing Phone (3a) Pro (Black, 128 GB)","4,934 Ratings & 496 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
52,"POCO M7 5G (Satin Black, 128 GB)","22,869 Ratings & 1,262 Reviews",6 GB RAM , 128 GB ROM ,6.88 inch,4 Gen 2 5G Processor,5160 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹9,299","₹12,999"
53,"REDMI A5 (Just Black, 64 GB)","1,648 Ratings & 85 Reviews",3 GB RAM , 64 GB ROM ,6.88 inch,T7250 Processor,5200 mAh Battery,32MP Rear Camera , 8MP Front Camera,"₹6,499","₹8,999"
54,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","1,52,569 Ratings & 10,596 Reviews",12 GB RAM , 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP ,6.7 inch,7s Gen 2 Processor,5000 mAh Battery,N/A,N/A,"₹20,999","₹27,999"
55,"Motorola G85 5G (Olive Green, 128 GB)","2,06,681 Ratings & 10,737 Reviews",8 GB RAM , 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP ,6.67 inch,6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹16,999","₹20,999"
56,"Nothing Phone (3a) (Blue, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
57,"Motorola g45 5G (Brilliant Blue, 128 GB)","45,749 Ratings & 2,862 Reviews",4 GB RAM , 128 GB ROM ,6.5 inch,Snapdragon 6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹10,999","₹12,999"
58,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","32,585 Ratings & 1,933 Reviews",8 GB RAM , 256 GB ROM ,6.67 inch,Dimensity 7400 Processor,5500 mAh Battery,N/A,N/A,"₹22,999","₹25,999"
59,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","32,585 Ratings & 1,933 Reviews",8 GB RAM , 256 GB ROM ,6.67 inch,Dimensity 7400 Processor,5500 mAh Battery,N/A,N/A,"₹22,999","₹25,999"
60,"Motorola G85 5G (Olive Green, 256 GB)","77,311 Ratings & 4,364 Reviews",12 GB RAM , 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP ,6.67 inch,6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹18,999","₹22,999"
61,"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","1,24,973 Ratings & 8,198 Reviews",8 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP ,6.7 inch,7s Gen 2 Processor,5000 mAh Battery,N/A,N/A,"₹18,999","₹25,999"
62,"REDMI A3X (Ocean Green, 64 GB)","5,209 Ratings & 236 Reviews",4 GB RAM , 64 GB ROM ,6.71 inch,N/A,5000 mAh Battery,8MP Rear Camera , 5MP Front Camera,"₹6,499","₹10,499"
63,"Samsung Galaxy M35 5G (Thunder Grey, 128 GB)","2,971 Ratings & 214 Reviews",8 GB RAM , 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR,6.6 inch,N/A,6000 mAh Battery,50MP Rear Camera,N/A,"₹15,827","₹25,999"
64,"MOTOROLA g35 5G (Midnight Black, 128 GB)","57,645 Ratings & 4,417 Reviews",4 GB RAM , 128 GB ROM ,6.72 inch,T760 Processor,5000 mAh Battery,N/A,N/A,"₹9,999","₹12,499"
65,"realme P2 Pro 5G (Parrot Green, 128 GB)","16,434 Ratings & 1,187 Reviews",8 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP ,6.7 inch,7s Gen2 Processor,5200 mAh Battery,N/A,N/A,"₹16,999","₹25,999"
66,"realme P3x 5G (Stellar Pink, 128 GB)","20,556 Ratings & 710 Reviews",6 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Full HD Display50MP Rear Camera ,6.72 inch,Dimensity 6400 Processor,6000 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹12,999","₹16,999"
67,"realme P3 5G (Comet Grey, 128 GB)","10,749 Ratings & 816 Reviews",8 GB RAM , 128 GB ROM ,6.67 inch,6 Gen 4 Processor,6000 mAh Battery,N/A,N/A,"₹16,999","₹20,999"
68,"Motorola G85 5G (Viva Magenta, 128 GB)","2,06,681 Ratings & 10,737 Reviews",8 GB RAM , 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP ,6.67 inch,6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹16,999","₹20,999"
69,"realme P3x 5G (Midnight Blue, 128 GB)","5,988 Ratings & 271 Reviews",8 GB RAM , 128 GB ROM17.07 cm (6.72 inch) Full HD Display50MP Rear Camera ,6.72 inch,Dimensity 6400 Processor,6000 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹13,999","₹17,999"
70,"Samsung Galaxy M35 5G (DayBreak Blue, 256 GB)","2,971 Ratings & 214 Reviews",8 GB RAM , 256 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR,6.6 inch,N/A,6000 mAh Battery,50MP Rear Camera,N/A,"₹20,999","₹27,779"
71,"Samsung Galaxy M35 5G (Thunder Grey, 128 GB)","23,111 Ratings & 1,901 Reviews",6 GB RAM , 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR,6.6 inch,N/A,6000 mAh Battery,50MP Rear Camera,N/A,"₹17,998","₹25,990"
72,"realme P2 Pro 5G (Parrot Green, 256 GB)","17,531 Ratings & 1,420 Reviews",12 GB RAM , 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP ,6.7 inch,7s Gen2 Processor,5200 mAh Battery,N/A,N/A,"₹19,199","₹27,999"
73,"Motorola g45 5G (Viva Magenta, 128 GB)","45,749 Ratings & 2,862 Reviews",4 GB RAM , 128 GB ROM ,6.5 inch,Snapdragon 6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹10,999","₹12,999"
74,"realme P3 5G (Space Silver, 256 GB)","10,749 Ratings & 816 Reviews",8 GB RAM , 256 GB ROM ,6.67 inch,6 Gen 4 Processor,6000 mAh Battery,N/A,N/A,"₹18,499","₹22,999"
75,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)",643 Ratings & 31 Reviews,8 GB RAM , 256 GB ROM ,6.74 inch,Dimensity 6300 5G Processor,6000 mAh Battery,N/A,N/A,"₹12,999","₹16,999"
76,"Nothing Phone (3a) Pro (Black, 128 GB)","4,934 Ratings & 496 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
77,"Nothing Phone (3a) (Blue, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
78,"vivo T4 5G (Phantom Grey, 256 GB)","6,104 Ratings & 388 Reviews",12 GB RAM , 256 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP ,6.77 inch,Snapdragon 7s Gen 3 5G Processor,7300 mAh Battery,N/A,N/A,"₹25,999","₹29,999"
79,"POCO M7 5G (Satin Black, 128 GB)","22,869 Ratings & 1,262 Reviews",6 GB RAM , 128 GB ROM ,6.88 inch,4 Gen 2 5G Processor,5160 mAh Battery,50MP Rear Camera , 8MP Front Camera,"₹9,299","₹12,999"
80,"Nothing Phone (3a) (Black, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
81,"Nothing Phone (3a) Pro (Black, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
82,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","1,52,569 Ratings & 10,596 Reviews",12 GB RAM , 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP ,6.7 inch,7s Gen 2 Processor,5000 mAh Battery,N/A,N/A,"₹20,999","₹27,999"
83,"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)",314 Ratings & 27 Reviews,6 GB RAM , 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 2MP ,6.78 inch,Dimensity 7300 Ultimate Processor,5500 mAh Battery,N/A,N/A,"₹14,999","₹19,999"
84,"Motorola g45 5G (Brilliant Blue, 128 GB)","45,749 Ratings & 2,862 Reviews",4 GB RAM , 128 GB ROM ,6.5 inch,Snapdragon 6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹10,999","₹12,999"
85,"REDMI A5 (Just Black, 64 GB)","1,648 Ratings & 85 Reviews",3 GB RAM , 64 GB ROM ,6.88 inch,T7250 Processor,5200 mAh Battery,32MP Rear Camera , 8MP Front Camera,"₹6,499","₹8,999"
86,"Nothing Phone (3a) (White, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
87,"Nothing Phone (3a) Pro (Grey, 256 GB)","2,345 Ratings & 180 Reviews",12 GB RAM , 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹33,999","₹36,999"
88,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","32,585 Ratings & 1,933 Reviews",8 GB RAM , 256 GB ROM ,6.67 inch,Dimensity 7400 Processor,5500 mAh Battery,N/A,N/A,"₹22,999","₹25,999"
89,"Motorola G85 5G (Olive Green, 128 GB)","2,06,681 Ratings & 10,737 Reviews",8 GB RAM , 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP ,6.67 inch,6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹16,999","₹20,999"
90,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","32,585 Ratings & 1,933 Reviews",8 GB RAM , 256 GB ROM ,6.67 inch,Dimensity 7400 Processor,5500 mAh Battery,N/A,N/A,"₹22,999","₹25,999"
91,"vivo T3 Pro 5G (Sandstone Orange, 128 GB)","81,486 Ratings & 5,180 Reviews",8 GB RAM , 128 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP ,6.77 inch,Snapdragon 7 Gen 3 Processor,5500 mAh Battery,N/A,N/A,"₹22,999","₹29,999"
92,"realme GT 6 (Fluid Silver, 512 GB)","5,178 Ratings & 585 Reviews",16 GB RAM , 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 8MP + 50MP ,6.78 inch,8s Gen 3 Mobile Platform Processor,5500 mAh Battery,N/A,N/A,"₹32,999","₹51,999"
93,"Infinix Note 50x 5G+ (Sea Breeze Green, 128 GB)","8,982 Ratings & 940 Reviews",6 GB RAM , 128 GB ROM16.94 cm (6.67 inch) HD+ Display50MP + AI Lens ,6.67 inch,Dimensity 7300 Ultimate Processor,5500 mAh Battery,N/A,N/A,"₹11,499","₹14,999"
94,"Motorola G85 5G (Olive Green, 256 GB)","77,311 Ratings & 4,364 Reviews",12 GB RAM , 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP ,6.67 inch,6s Gen 3 Processor,5000 mAh Battery,N/A,N/A,"₹18,999","₹22,999"
95,"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","1,24,973 Ratings & 8,198 Reviews",8 GB RAM , 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP ,6.7 inch,7s Gen 2 Processor,5000 mAh Battery,N/A,N/A,"₹18,999","₹25,999"
96,"Nothing Phone (3a) Pro (Black, 128 GB)","4,934 Ratings & 496 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹29,999","₹32,999"
97,"Nothing Phone (3a) (Blue, 128 GB)","26,059 Ratings & 2,334 Reviews",8 GB RAM , 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) ,17.19 cm,7s Gen3 Processor,5000 mAh Battery,N/A,N/A,"₹24,999","₹27,999"
